"level","family","genus","rn","rn.bl","bn","bn.bl","gen.n","sp.n","taxa"
"G","Cricetidae","Neofiber","N3934",5.15973288,"N3934",5.15973288,1,1,"Neofiber_alleni"
"G","Cricetidae","Synaptomys","N3940",4.146277597,"N3940",4.146277597,1,1,"Synaptomys_borealis"
"G","Cricetidae","Lemmus","N3939",-154.4007973412,"N3941",1.487270631,1,3,""
"G","Cricetidae","Myopus","N3938",5.355308509,"N3938",5.355308509,1,1,"Myopus_schisticolor"
"G","Cricetidae","Arvicola","N3946",-153.1314116147,"N3947",1.652543608,1,3,""
"G","Cricetidae","Dinaromys","N3946",5.625390402,"N3946",5.625390402,1,1,"Dinaromys_bogdanovi"
"G","Cricetidae","Eolagurus","N3949",-156.0026067657,"N3950",0.5266497453,1,2,""
"G","Cricetidae","Lemmiscus","N3951",0.307698406,"N3951",0.307698406,1,1,"Lemmiscus_curtatus"
"G","Cricetidae","Lagurus","N3951",0.307698406,"N3951",0.307698406,1,1,"Lagurus_lagurus"
"G","Cricetidae","Chionomys","N3953",-152.4959585863,"N3954",4.103766057,1,3,""
"G","Cricetidae","Blanfordimys","N3960",-154.27215703102,"N3961",2.817630843,1,3,""
"G","Cricetidae","Microtus","N3957",-152.99266189922,"N3958",5.3908301794,1,48,""
"G","Cricetidae","Neodon","N4024",-155.37694624532,"N4025",2.49742366,1,2,""
"G","Cricetidae","Lasiopodomys","N4011",-153.22602462402,"N4030",2.456254904,1,2,""
"G","Cricetidae","Volemys","N4033",4.267153004,"N4033",4.267153004,1,1,"Volemys_musseri"
"G","Cricetidae","Proedromys","N4031",5.015146564,"N4031",5.015146564,1,1,"Proedromys_liangshanensis"
"G","Cricetidae","Ellobius","N3952",-152.0255971767,"N4034",5.0159888702,1,5,""
"G","Cricetidae","Eothenomys","N4039",-155.573519711,"N4040",2.9861831963,1,8,""
"G","Cricetidae","Caryomys","N4039",-155.573519711,"N4047",1.86754534,1,2,""
"G","Cricetidae","Hyperacrius","N4048",-154.663297811,"N4049",0.5367250996,1,2,""
"G","Cricetidae","Myodes","N4050",-154.67838369501,"N4051",2.2674255208,1,5,""
"G","Cricetidae","Alticola","N4060",-156.139708168985,"N4061",2.2139397902,1,11,""
"G","Cricetidae","Cansumys","N4072",13.41447296,"N4072",13.41447296,1,1,"Cansumys_canus"
"G","Cricetidae","Phodopus","N4074",-148.5748772674,"N4075",6.440899463,1,3,""
"G","Cricetidae","Mesocricetus","N4078",-149.0660645894,"N4079",2.804895616,1,4,""
"G","Cricetidae","Tscherskia","N4084",1.703836788,"N4084",1.703836788,1,1,"Tscherskia_triton"
"G","Cricetidae","Allocricetulus","N4086",-153.9277037804,"N4087",1.107008521,1,2,""
"G","Cricetidae","Cricetus","N4088",1.47515839,"N4088",1.47515839,1,1,"Cricetus_cricetus"
"G","Cricetidae","Cricetulus","N4082",-152.5301330954,"N4089",4.857389363,1,3,""
"G","Cricetidae","Neotoma","N4093",-150.4319303259,"N4094",5.047375033,1,22,""
"G","Cricetidae","Xenomys","N4116",3.817960332,"N4116",3.817960332,1,1,"Xenomys_nelsoni"
"G","Cricetidae","Nelsonia","N4116",-154.9388431759,"N4117",1.375373309,1,2,""
"G","Cricetidae","Hodomys","N4115",6.288753771,"N4115",6.288753771,1,1,"Hodomys_alleni"
"G","Cricetidae","Ochrotomys","N4118",13.8576546,"N4118",13.8576546,1,1,"Ochrotomys_nuttalli"
"G","Cricetidae","Reithrodontomys","N4121",-150.6387256589,"N4122",6.166494137,1,22,""
"G","Cricetidae","Isthmomys","N4121",-150.6387256589,"N4143",6.473373279,1,2,""
"G","Cricetidae","Onychomys","N4144",-150.1065363502,"N4145",3.199558668,1,3,""
"G","Cricetidae","Osgoodomys","N4149",5.139382246,"N4149",5.139382246,1,1,"Osgoodomys_banderanus"
"G","Cricetidae","Habromys","N4172",-155.8378970936,"N4175",1.936551164,1,2,""
"G","Cricetidae","Peromyscus","N4164",-154.1323909433,"N4165",4.452549337,1,24,""
"G","Cricetidae","Podomys","N4199",3.410107165,"N4199",3.410107165,1,1,"Podomys_floridanus"
"G","Cricetidae","Neotomodon","N4199",3.410107165,"N4199",3.410107165,1,1,"Neotomodon_alstoni"
"G","Cricetidae","Megadontomys","N4201",-155.2466380633,"N4202",2.4940983642,1,3,""
"G","Cricetidae","Scotinomys","N4217",-149.6226642149,"N4218",1.819536675,1,2,""
"G","Cricetidae","Baiomys","N4217",-149.6226642149,"N4219",4.381473636,1,2,""
"G","Cricetidae","Tylomys","N4222",-151.6846950429,"N4223",5.149843195,1,7,""
"G","Cricetidae","Ototylomys","N4222",7.072107305,"N4222",7.072107305,1,1,"Ototylomys_phyllotis"
"G","Cricetidae","Otonyctomys","N4229",6.834505859,"N4229",6.834505859,1,1,"Otonyctomys_hatti"
"G","Cricetidae","Nyctomys","N4229",6.834505859,"N4229",6.834505859,1,1,"Nyctomys_sumichrasti"
"G","Cricetidae","Andinomys","N4237",3.976420422,"N4237",3.976420422,1,1,"Andinomys_edax"
"G","Cricetidae","Punomys","N4237",-154.7803816761,"N4238",1.080222471,1,2,""
"G","Cricetidae","Euneomys","N4240",-152.7170141994,"N4241",4.535157892,1,4,""
"G","Cricetidae","Neotomys","N4240",6.039788396,"N4240",6.039788396,1,1,"Neotomys_ebriosus"
"G","Cricetidae","Irenomys","N4239",6.265205323,"N4239",6.265205323,1,1,"Irenomys_tarsalis"
"G","Cricetidae","Calomys","N4247",-151.7001457585,"N4248",4.7768808552,1,14,""
"G","Cricetidae","Auliscomys","N4266",-155.5458985648,"N4267",2.622536296,1,3,""
"G","Cricetidae","Galenomys","N4269",0.5033749922,"N4269",0.5033749922,1,1,"Galenomys_garleppi"
"G","Cricetidae","Loxodontomys","N4270",-156.9572848371,"N4271",1.720893458,1,2,""
"G","Cricetidae","Paralomys","N4275",0.5764590663,"N4275",0.5764590663,1,1,"Paralomys_gerbillus"
"G","Cricetidae","Phyllotis","N4264",-153.7793226081,"N4272",4.6434935219,1,12,""
"G","Cricetidae","Tapecomys","N4284",1.653375305,"N4284",1.653375305,1,1,"Tapecomys_primus"
"G","Cricetidae","Salinomys","N4285",4.67343959,"N4285",4.67343959,1,1,"Salinomys_delicatus"
"G","Cricetidae","Andalgalomys","N4285",-154.0833628397,"N4286",2.66393548,1,2,""
"G","Cricetidae","Eligmodontia","N4287",-153.2330312517,"N4288",2.6994078485,1,7,""
"G","Cricetidae","Graomys","N4287",-153.2330312517,"N4294",1.8242369154,1,4,""
"G","Cricetidae","Calassomys","N4246",7.544366018,"N4246",7.544366018,1,1,"Calassomys_apicalis"
"G","Cricetidae","Delomys","N4245",-150.4308190476,"N4297",2.011887965,1,4,""
"G","Cricetidae","Juliomys","N4301",-150.8074758166,"N4302",3.474578027,1,3,""
"G","Cricetidae","Wiedomys","N4301",-150.8074758166,"N4304",2.378131412,1,2,""
"G","Cricetidae","Geoxus","N4308",1.521184376,"N4308",1.521184376,1,1,"Geoxus_valdivianus"
"G","Cricetidae","Pearsonomys","N4309",0.5404636748,"N4309",0.5404636748,1,1,"Pearsonomys_annectens"
